lat,lon,response,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,ppt1,ppt2,ppt3,ppt4,ppt5,ppt6,ppt7,ppt8,ppt9,ppt10,ppt11,ppt12,aet1,aet2,aet3,aet4,aet5,aet6,aet7,aet8,aet9,aet10,aet11,aet12,pet1,pet2,pet3,pet4,pet5,pet6,pet7,pet8,pet9,pet10,pet11,pet12,pack1,pack2,pack3,pack4,pack5,pack6,pack7,pack8,pack9,pack10,pack11,pack12,soilm1,soilm2,soilm3,soilm4,soilm5,soilm6,soilm7,soilm8,soilm9,soilm10,soilm11,soilm12,vpd1,vpd2,vpd3,vpd4,vpd5,vpd6,vpd7,vpd8,vpd9,vpd10,vpd11,vpd12
44.831,-112.1438,1,-14.84333,-12.55833,-11.36133,-6.544666,-1.829,1.802,5.371,4.856667,0.5859999,-3.552,-9.924333,-13.01633,-6.583667,-3.686667,-1.368,3.79,10.341,15.43333,21.447,20.15934,14.168,7.360667,-0.9163334,-4.859666,79.48534,57.70733,75.93166,73.90601,81.91767,82.67033,39.40066,43.01466,49.51233,46.65367,45.64933,62.97333,7.01108,5.930536,6.008064,7.456393,33.42311,45.14324,56.9142,48.51979,30.04817,19.01384,10.3101,8.163174,15.27136,15.67272,19.79954,22.04955,33.42311,45.19692,61.83128,53.92448,33.47079,21.04877,15.37206,14.68863,218.9161,276.6235,352.5551,418.7904,139.3431,0.07634146,0,0,1.332671,28.54761,74.19694,137.1702,33.33392,27.40339,21.39532,21.34214,80,79.50009,60.44473,52.92482,59.7902,58.97636,48.66626,40.50309,0.1049662,0.136823,0.1686039,0.255664,0.4040118,0.5406622,0.91241,0.8637469,0.5817391,0.3722698,0.1668277,0.1017562
44.9766,-111.5062,1,-13.576,-11.72267,-11.39233,-7.376333,-2.353,1.706,3.51,3.206333,0.9453334,-3.176666,-9.035334,-11.948,-6.072,-2.907333,-1.254667,3.410333,8.620667,13.065,19.04567,18.01867,11.93467,6.238334,-1.067,-4.658666,129.9817,102.7123,106.0457,92.98567,94.68401,71.51467,49.53099,49.747,64.74133,74.29034,95.266,110.012,4.396636,2.897492,2.211478,3.820838,35.67802,48.05749,56.85829,48.50329,33.05242,21.3071,10.77727,6.681035,17.53183,18.00836,22.76705,25.2665,35.67802,48.05749,62.35318,55.10089,36.22947,23.69324,17.65256,16.85764,390.871,493.5834,599.629,686.5197,361.6081,2.70508,0,0,3.958472,51.36938,146.6354,256.6474,7.992964,5.095473,2.883995,4.505908,40,40,29.42427,24.08864,29.5296,30.20456,19.42729,12.74626,0.08374129,0.1162144,0.1219568,0.1940149,0.2964438,0.397679,0.6422513,0.6208948,0.4741166,0.2905258,0.1430351,0.09303556
44.7904,-111.8294,1,-15.298,-13.581,-12.93766,-8.183666,-3.431667,0.8060001,4.861,4.64,-0.06699999,-4.586333,-10.84967,-13.67967,-7.105,-3.546,-0.8063332,2.913667,8.192999,13.19733,19.16933,17.577,11.854,5.710333,-1.993667,-5.560333,98.18433,82.70364,87.63599,80.04333,85.59866,96.15734,41.786,50.728,60.26233,61.45201,82.386,94.00433,8.100861,6.926606,7.104615,6.803828,32.60748,47.94643,62.31017,53.72764,33.25956,19.42495,11.56637,9.258151,18.00159,18.46997,23.3283,25.79938,34.70729,47.94643,66.78596,58.19566,35.79394,23.03034,18.11877,17.31623,333.8325,416.5362,504.1721,583.2816,387.2281,5.876926,0,0,4.997662,55.99678,138.3828,232.3871,41.07183,34.14521,27.04061,21.17056,88.34946,100,79.73583,72.93953,79.40092,69.79414,58.22778,48.96962,0.09373779,0.1165706,0.1388513,0.2064157,0.3348258,0.4608991,0.77703,0.7367981,0.4996873,0.2803155,0.1270832,0.07662871
45.3326,-110.2946,1,-14.548,-12.548,-12.02233,-7.292,-2.502333,1.355667,4.581667,4.039,-0.238,-3.849667,-9.730667,-12.348,-3.878,-0.2713334,2.184,6.362999,12.20733,17.482,23.127,21.71967,16.104,9.602668,1.063333,-2.691,80.933,61.27434,72.45601,72.34365,81.78401,68.24167,42.09467,40.56834,55.50033,45.65134,65.02334,73.75134,8.046639,7.266614,7.920038,10.75251,26.72382,36.62087,47.42314,40.49838,26.21408,16.87284,10.40718,8.731615,11.62543,11.96835,15.15964,17.34149,26.72382,36.63454,48.90983,42.41717,26.63154,17.1561,11.71723,11.1695,239.4218,300.6961,373.1522,412.2699,101.8434,0.01720672,0,0,2.099408,19.29834,84.27586,158.0272,58.35753,51.09092,43.1709,49.67505,90,89.72269,78.93838,74.46545,82.88872,85.17379,74.81241,66.08078,0.1282403,0.158103,0.1859434,0.28437,0.4325937,0.6079357,0.9726442,0.9077142,0.639448,0.3873177,0.1745418,0.1197963
45.1597,-110.6195,1,-15.60467,-13.65567,-13.29733,-9.350667,-4.039333,0.2706667,3.768333,3.317,-1.008667,-4.972001,-11.25133,-13.41467,-6.170668,-2.537,-0.1076667,3.687,9.066667,13.712,19.35666,17.961,12.40367,6.090333,-1.443667,-4.986333,74.04833,56.10167,73.38767,66.17533,101.4647,77.48901,49.47567,42.27333,61.589,50.44633,56.79134,67.381,5.090724,4.40452,4.573799,4.533583,16.43969,22.89137,30.87041,26.71453,16.77035,10.59886,7.21568,5.821569,8.520324,8.761949,11.08797,12.27229,16.69704,22.89137,30.98323,26.95027,16.82648,11.01679,8.582261,8.189373,246.5177,302.6194,376.007,441.4306,304.4268,8.057348,0,0,8.324023,46.49409,103.2854,170.6664,27.40092,22.99639,18.4226,14.64077,46.19253,50,48.85273,47.9596,49.36723,45.74933,38.53366,32.71209,0.0883081,0.130201,0.1592206,0.2272713,0.329278,0.4571201,0.7897142,0.7393549,0.5228361,0.3070787,0.144924,0.09817228
45.4513,-110.1235,1,-15.70966,-13.921,-13.78,-10.171,-4.730667,-0.7626666,2.045333,1.337667,-2.430666,-5.549,-11.57633,-13.447,-5.949667,-2.315,-0.3416666,4.034,9.128666,13.62967,18.73967,17.513,12.35667,6.786333,-1.306667,-4.736667,100.8167,73.02566,98.26967,113.38,109.7153,87.68566,50.02433,48.71134,74.31166,67.52801,86.33733,78.99567,7.68827,6.236687,6.011642,5.748596,28.87987,43.01988,54.70055,46.03897,30.84518,19.95864,12.43284,9.394063,16.49471,16.9939,21.53866,23.8721,31.84838,43.01988,56.08196,48.56957,31.23732,21.50341,16.62485,15.84364,333.4961,406.5218,504.7915,617.0569,447.5724,31.54519,0,0,15.8952,65.3261,151.6634,230.6591,28.93406,22.69738,16.68574,12.05174,61.18734,70,62.74946,57.43854,65.59698,58.81152,46.37869,36.98462,0.1136027,0.1678251,0.1805846,0.2463622,0.349708,0.4695817,0.7509198,0.7171311,0.5149936,0.3627775,0.1866763,0.1434222
44.7923,-112.1359,1,-14.859,-13.27966,-12.17633,-7.480666,-2.852333,1.31,5.583001,5.302332,0.427,-3.966,-10.42233,-13.18533,-7.307333,-3.688,-0.7216666,1.978333,8.443,13.51067,19.23433,18.03367,12.16967,5.538001,-1.894,-5.725,73.804,55.52134,72.35233,74.62267,73.87466,106.1803,37.92266,44.05166,56.72767,56.15733,52.24733,59.36467,6.850317,5.836851,5.963045,5.421001,29.10585,40.15041,52.14795,45.45342,28.0672,16.64691,9.881395,7.882506,14.67814,15.06006,19.02143,21.02084,29.10585,40.15041,55.81039,49.15333,29.96897,18.97399,14.77368,14.11931,235.2629,290.7842,363.1366,437.3764,259.7462,1.565612,0,0,3.393391,47.87518,100.1225,159.4872,34.01568,28.17883,22.21579,17.17765,74.56494,80,63.74668,58.8615,64.61482,58.6008,48.71941,40.8369,0.08187423,0.1286708,0.1663082,0.2142286,0.3831006,0.5126561,0.8367415,0.8208058,0.5458547,0.3284837,0.1395378,0.08802467
45.0577,-109.794,1,-14.532,-12.34567,-12.15033,-8.174999,-2.536,1.36,4.822333,4.662667,0.744,-3.413667,-10.15267,-12.31633,-5.651666,-1.962333,0.4889999,5.079333,10.15167,14.41866,19.67133,18.65333,13.18167,7.784332,-0.6746667,-4.363666,174.7747,113.363,110.0627,113.007,105.716,86.70535,50.63634,51.223,70.87067,59.395,111.7773,130.3423,6.500426,5.854208,6.365591,7.065305,19.45611,25.90657,34.36868,30.47761,19.50986,12.76513,8.415972,7.066838,9.119541,9.372288,11.85409,13.30298,19.45611,25.90657,34.54071,30.67309,19.55363,12.87777,9.183929,8.767257,454.0804,567.4434,677.506,765.6593,318.7964,1.671981,0,0,5.456517,34.70887,146.4862,276.8286,46.71645,40.86226,34.49666,34.20186,70,70,68.00688,68.29327,69.42931,68.44658,60.03062,52.96375,0.1165052,0.1513931,0.1849546,0.2566299,0.3787459,0.4988908,0.8038445,0.7867826,0.5483211,0.3624167,0.1620708,0.1160141
45.2416,-111.1302,1,-13.87633,-11.77633,-11.32267,-7.234,-2.338333,1.988,4.595,4.790334,0.9956667,-3.461666,-9.267334,-11.781,-5.956667,-2.414,-0.5526666,4.093667,9.478667,14.01067,20.02234,18.952,13.04767,7.052332,-0.925,-4.482667,95.00467,96.87833,120.4637,107.6933,122.8583,112.7703,52.492,54.34233,72.61199,89.30235,74.54166,104.2967,9.654061,8.731768,9.536337,10.57432,29.45841,40.14854,52.23345,46.17512,29.93108,18.97683,12.54738,10.56064,13.98135,14.38541,18.21231,20.37012,29.45841,40.14854,53.35745,47.8213,30.12934,19.26923,14.08545,13.43579,332.8646,429.7428,550.2066,640.3398,301.7994,1.02252,0,0,4.378652,56.26244,130.8041,235.1007,71.22971,62.4979,52.96159,52.81021,110,110,100.7212,97.32014,105.2836,104.396,91.84863,81.28799,0.08623622,0.1235169,0.1416212,0.2202563,0.3286958,0.4572458,0.7633649,0.7486979,0.5329722,0.3103254,0.1476832,0.0991057
45.3767,-111.2528,1,-12.52333,-10.45967,-9.919666,-5.685333,-0.9703333,3.146667,6.628335,6.851,2.207,-1.831,-7.658,-10.243,-4.236333,-1.351333,0.43,6.145,11.802,16.76567,22.505,21.73667,15.972,10.03366,0.9580001,-2.557334,96.997,80.87933,82.29035,84.33699,102.994,100.1203,51.96467,47.39267,63.579,68.52,64.67534,88.21,9.065888,8.759699,10.31497,14.00898,25.48251,34.78274,46.45368,41.69037,26.1899,16.98277,10.37819,9.241857,10.67071,10.98839,13.92148,16.2369,25.48251,34.81335,46.92809,42.49036,26.32734,17.0569,10.78463,10.25127,265.465,346.3443,428.6346,444.765,73.37125,0,0,0,0.7542111,15.42594,79.59808,167.8081,139.9472,131.1876,120.8726,136.5575,170,169.2437,162.8607,158.3613,164.6247,167.803,157.928,148.6861,0.08767577,0.1502516,0.1665234,0.2771079,0.4015895,0.5572345,0.9580476,0.9692628,0.6549346,0.4134135,0.1836661,0.1402047
44.9315,-111.443,1,-15.57367,-13.83333,-13.48733,-9.232667,-4.213333,-0.12,1.955,1.992334,-0.8386667,-4.966667,-10.916,-14.055,-7.774667,-4.862,-2.805,1.803334,6.911,11.267,17.134,16.092,9.972001,4.641334,-3.033,-6.600667,146.3213,119.153,117.298,103.1264,102.012,83.07998,48.42767,50.66367,65.98734,85.07967,104.2747,126.4277,3.498734,2.354309,1.839973,1.152441,25.89028,40.63179,51.58075,44.53708,28.9595,16.43836,8.215581,5.199628,16.69964,17.14912,21.67602,23.95022,30.34009,40.63179,53.18464,47.46073,30.49625,20.83651,16.8132,16.05891,469.5928,588.7457,706.0438,809.1702,676.8525,84.12041,0,0,12.98388,88.61642,192.8911,319.3188,6.752393,4.398082,2.558109,1.405668,31.52564,40,36.23287,30.82649,32.60162,23.94027,15.72469,10.52506,0.07768016,0.1038339,0.1218588,0.1889563,0.274764,0.3593873,0.5653924,0.5620657,0.4206964,0.2705585,0.1260239,0.07669195
45.2855,-111.382,1,-13.85467,-11.41767,-10.715,-6.040999,-1.439667,2.373333,5.792666,5.206,1.000333,-2.769333,-8.688,-11.858,-4.258334,-0.7073333,1.368333,6.933667,12.93133,17.43367,23.35167,22.36767,16.52767,10.74267,1.713,-2.533333,83.75199,64.24232,71.73267,66.99133,90.42134,91.65168,47.32867,44.93134,55.621,60.96033,56.27,76.70934,12.28777,12.16115,14.7233,19.40339,33.80236,44.9608,60.01802,52.19312,33.08508,21.77148,13.4482,12.24598,13.87891,14.28376,18.08764,21.2759,33.80236,45.01302,60.91311,53.4561,33.48014,21.98552,14.01883,13.33609,232.2286,296.4709,368.2036,366.6557,47.90586,0,0,0,0.6093212,14.62538,70.45753,147.1669,312.6237,300.4626,285.7393,310.653,360,358.458,341.4024,331.7562,340.012,349.7441,336.7337,324.4878,0.1448154,0.1854863,0.214519,0.322344,0.4848606,0.6386259,0.9654154,0.9435207,0.6431149,0.452515,0.2152053,0.1465092
44.9288,-111.7609,1,-14.36433,-12.077,-11.664,-7.509999,-2.487667,1.651,5.367,5.163333,0.8836668,-3.674,-9.560667,-12.24967,-6.150666,-2.595333,-0.3476667,3.844667,9.211333,13.628,19.59833,18.55,12.92267,6.694334,-1.117333,-4.607666,84.90067,69.19434,86.27332,99.55267,91.75167,80.20601,44.66666,51.94833,64.38333,70.74699,71.42234,74.70667,9.634513,8.443584,8.903646,10.19786,35.52462,47.89882,62.28735,54.26892,34.55653,21.51,13.23364,10.83593,17.2049,17.66708,22.32971,24.79529,35.52462,47.89882,65.90572,58.43753,36.6183,23.20106,17.3216,16.5451,283.3725,352.5669,438.8402,532.9761,260.9316,0.9686698,0,0,2.831967,49.59607,121.0184,195.725,56.9068,48.46321,39.55957,34.77845,109.8372,110,90.83142,83.39403,90.80871,90.83004,77.5964,66.76046,0.08880709,0.136004,0.1531601,0.2241696,0.3342909,0.4390887,0.7851268,0.7610778,0.5290726,0.3164264,0.151779,0.1045152
45.6026,-112.088,1,-13.84467,-12.27433,-11.15333,-7.282,-2.196333,1.882666,4.359334,4.462334,1.417,-3.016666,-8.433333,-11.10466,-5.665667,-2.762,-1.051,3.200333,8.222667,12.65333,18.813,17.464,11.74567,5.378333,-0.421,-3.405,85.066,59.87767,106.549,120.1,128.666,100.4713,52.498,43.121,61.61866,69.26266,83.67832,74.99767,8.060084,6.79715,6.845028,8.153768,32.41282,43.72651,56.08995,48.56612,32.17134,19.8713,11.91849,9.326588,15.85663,16.35232,20.74219,23.10782,32.41282,43.72651,58.24725,51.54872,33.36885,21.11565,15.99132,15.22555,298.5178,358.3954,464.9445,576.5427,336.9429,3.644695,0,0,4.135893,53.76044,137.3816,212.3792,36.76778,29.97063,23.1256,23.4737,79.82313,80,69.0855,61.97084,68.01633,65.67735,53.81608,44.48949,0.06744537,0.1131464,0.1220873,0.1947991,0.2967115,0.4016423,0.6733282,0.6606863,0.4732352,0.2670091,0.1465683,0.1048689
45.3794,-110.2352,1,-14.269,-12.45967,-12.21733,-8.067667,-2.969,1.485667,4.484,4.186333,-0.1136666,-3.584001,-9.957334,-12.14333,-4.770666,-1.157,0.7393332,5.451001,10.762,15.56467,20.87033,19.63467,14.186,8.299,0.06700007,-3.491666,74.97134,51.577,71.19733,79.24866,85.94933,68.69534,45.97367,40.566,55.42433,47.07967,65.26301,57.29667,8.136566,7.049956,7.327818,9.344716,33.10204,45.7028,57.24906,47.74091,31.69424,20.70755,11.40329,9.19234,15.32434,15.7814,19.99475,22.54581,33.10204,45.7028,60.03252,52.72564,33.15472,21.92394,15.44306,14.72169,224.4234,276.0004,347.1978,409.9561,169.6556,0.5541486,0,0,4.060333,25.73107,90.99406,148.2907,43.83325,36.78331,29.45548,32.19415,90,90,74.06418,65.15567,72.85197,72.32141,60.91811,51.72577,0.1103323,0.1703398,0.1937454,0.2836654,0.3995014,0.5541099,0.8854355,0.8323515,0.5795711,0.3928489,0.1912647,0.1459938
46.1421,-110.2904,1,-12.34867,-9.901332,-9.466666,-5.728333,-0.8836666,3.218667,6.617666,5.926001,2.217667,-1.607667,-7.256668,-9.785666,-4.855667,-1.210333,0.5860001,4.771333,10.48567,15.247,20.53967,19.71667,13.44567,7.539333,0.5080001,-2.699667,81.82533,68.18633,94.06232,97.755,127.437,97.296,44.94867,52.375,82.70133,68.625,69.81033,75.23134,9.683839,8.64386,9.503813,12.66113,33.87626,46.06966,58.21122,49.79295,32.93451,21.50451,13.18104,10.62481,14.54812,15.05655,19.16091,22.05468,33.87626,46.12368,61.20931,53.69361,33.48219,21.77744,14.74612,13.95132,253.2825,321.4688,415.1075,468.9921,122.228,0.2893094,0,0,3.061051,26.59245,95.58211,170.8134,61.83965,53.19579,44.11564,52.14095,100,99.43532,82.58822,77.55039,91.52113,93.95257,81.59224,70.9674,0.1111189,0.1643653,0.1784026,0.2340785,0.3421807,0.4567376,0.819006,0.7884988,0.5329513,0.3262161,0.1858188,0.1440701
